standard_id,title,category,sub_category,product_types,materials,age_groups,power_types,keywords,description,requirements,certification_notes,source
IS 17334:2019,Medical Textiles - Surgical Gowns and Surgical Drapes - Specification,textiles,medical_textile,surgical gowns; surgical drapes,non-woven fabric; SMS fabric,not_applicable,none,surgical gown; surgical drape; medical textile; infection barrier,Performance requirements for surgical gowns and drapes covering barrier and strength properties.,Impact penetration; Hydrostatic resistance; Blood/viral resistance; Particle release; Tensile/bursting strength; Microbial penetration resistance,Mandatory under Medical Textiles (QCO) 2023/2024; Effective 1 Apr 2024 (SMEs: 1 Oct 2024),https://www.services.bis.gov.in/php/BIS_2.0/BISBlog/standards-for-medical-textiles-elevating-the-quality-of-healthcare/
IS 16289:2014,Medical Textiles - Surgical Face Masks - Specification,textiles,medical_textile,surgical face masks,non-woven fabric,not_applicable,none,surgical mask; face mask; medical textile; filtration,Performance requirements for surgical face masks including filtration and breathability.,Bacterial filtration efficiency; Breathability/differential pressure; Splash resistance,Mandatory under Medical Textiles (QCO),https://www.services.bis.gov.in/php/BIS_2.0/BISBlog/standards-for-medical-textiles-elevating-the-quality-of-healthcare/
IS 17423,Medical Textiles - Coveralls - Specification,textiles,medical_textile,bio-protective coveralls; PPE coveralls,non-woven/coated fabric,not_applicable,none,coverall; bio-protective; PPE; medical textile,Performance requirements for bio-protective PPE coveralls.,Protection against liquid/biological penetration; Seam strength,Mandatory under Medical Textiles (QCO),https://www.eurofins.com/media/12153844/ef-covid-19-go-surgical-medical-textiles-en.pdf
IS 16391:2015,Geosynthetics - Geotextiles used in Sub-Grade Separation in Pavement Structures - Specification,textiles,geotextile,geotextile fabric for roads/pavements,polypropylene; polyester (woven/nonwoven),not_applicable,none,geotextile; pavement; sub-grade separation; road construction,"Physical, mechanical, and hydraulic property specifications for geotextiles used in pavement sub-grade separation.","Physical, mechanical, and hydraulic property specs for sub-grade separation performance",Mandatory under Geo Textiles (QCO) 2022 (amended 2023); Enforced from 1 Jan 2024,https://www.eraglobal.co.in/geotextiles-used-in-sub-grade-separation-in-pavement-structures/
IS 9845:1998,Method of analysis for determination of overall/specific migration of constituents of plastics materials and articles intended to come into contact with foodstuffs,food_packaging,migration_safety,plastic food containers; food wrap; plastic cutlery/plates,plastic (general),not_applicable,none,migration limit; food contact plastic; overall migration; food safety,Defines the method of analysis and limits for migration of substances from food-contact plastics.,Overall migration limit of 60 mg/kg or 10 mg/dm2; No visible colour migration,Referenced directly by FSSAI Packaging Regulations 2018; Mandatory testing for all food-contact plastics,https://fssai-digest.fssai.gov.in/policy-and-governance/food-packaging-guidance.php
IS 9833:2001,"List of pigments and colorants for use in plastics in contact with foodstuffs, pharmaceuticals and drinking water",food_packaging,chemical_safety,colored/printed plastic packaging,plastic; pigments,not_applicable,none,pigment; colorant; food-safe dye; plastic packaging,Positive list of approved pigments and colorants permitted in food-contact plastics.,Only listed/approved pigments permitted in food-contact plastic,Mandatory for any coloured plastic food packaging under FSSAI rules,https://printweek.in/News/bis-standards-for-the-packaging-industry-42054
IS 10171:1999,Guide on suitability of plastics for food packaging,food_packaging,material_selection,all plastic food packaging types,plastic (various resins),not_applicable,none,plastic suitability; food-grade plastic; packaging guide,Guidance document for selecting appropriate plastic resins for different food packaging applications.,Guidance on choosing appropriate plastic resin per food type/condition,Reference guide used alongside mandatory migration standards,https://www.worldpackaging.org/Uploads/SaveTheFood/India.pdf
IS 10141:2001,"Positive list of constituents of polyethylene in contact with foodstuffs, pharmaceuticals and drinking water",food_packaging,material_composition,polyethylene bags; PE food containers; PE film wrap,polyethylene (PE),not_applicable,none,polyethylene; PE packaging; positive list; food-grade resin,Positive list of approved constituents for polyethylene used in food-contact applications.,Only positive-listed constituents permitted in food-contact PE,Mandatory composition control for PE-based food packaging,https://www.worldpackaging.org/Uploads/SaveTheFood/India.pdf
IS 2798:1998,Methods of test for plastic containers,food_packaging,testing_methodology,rigid plastic containers; bottles; jars,plastic,not_applicable,none,plastic container testing; container test methods,Defines standard test procedures for evaluating plastic container properties.,Defines standard test procedures for plastic container properties,Testing reference standard for rigid plastic food containers,https://www.worldpackaging.org/Uploads/SaveTheFood/India.pdf
IS 15495,Printing inks for use on food packages,food_packaging,printing_safety,printed food packaging; labels; wrappers,ink; packaging substrate,not_applicable,none,printing ink; food label; printed packaging; ink safety,"Safety requirements for printing inks used on food packaging, ensuring printed surfaces do not contact food directly.",Printed surface must not directly contact food; Ink must meet safety specification,Mandatory under FSSAI Packaging Regulations 2018,https://www.tuv-nord.com/in/en/blog/blog-details/article/fssai-notification-on-packaging-material/
IS 12252,Specification for polyalkylene terephthalates (PET),food_packaging,material_composition,PET bottles; PET food containers,PET plastic,not_applicable,none,PET; polyester bottle; food-grade PET; beverage bottle,Composition and property specifications for food-grade PET plastic.,Composition and property specs for food-grade PET,Referenced in FSSAI packaging compendium for approved container materials,https://www.fssai.gov.in/upload/uploadfiles/files/Compendium_Packaging_Labelling_Regulations_05_06_2022.pdf
IS 12247,Specification for Nylon 6 polymer,food_packaging,material_composition,nylon-based food packaging films/containers,Nylon 6,not_applicable,none,nylon; polymer packaging; food-grade nylon,Composition and property specifications for food-grade Nylon 6 polymer.,Composition and property specs for food-grade Nylon 6,Referenced in FSSAI packaging compendium for approved container materials,https://www.fssai.gov.in/upload/uploadfiles/files/Compendium_Packaging_Labelling_Regulations_05_06_2022.pdf
IS 14534,Guidelines for recycling of plastics,food_packaging,recycling_sustainability,recycled plastic packaging,recycled plastic,not_applicable,none,recycled plastic; plastic waste; sustainable packaging; eco packaging,Guidelines for classification and processing of recycled plastic materials for packaging use.,Guidelines for classification and processing of recycled plastic materials,"Referenced by Plastic Waste Management Rules, 2016; relevant for eco-packaging claims",https://printweek.in/News/bis-standards-for-the-packaging-industry-42054
IS 15410:2003,Containers for packaging of natural mineral water and packaged drinking water - Specification,food_packaging,container_specification,water bottles; water jars/containers,PET; HDPE,not_applicable,none,water bottle; mineral water container; packaged drinking water; PET bottle,"Material, dimensional, and performance requirements for containers used to package mineral and drinking water.",Material safety; Potability after 30-day storage test; Dimensional/performance requirements,Mandatory for BIS-licensed packaged drinking water container manufacturers,https://archive.org/details/gov.in.is.15410.2003
IS 14543,Packaged drinking water - Specification,food_packaging,product_safety,packaged drinking water,not_applicable,not_applicable,none,packaged drinking water; bottled water; water quality,"Product quality specification for packaged drinking water, referenced alongside container standard IS 15410.",Water quality parameters combined with IS 15410-compliant containers,Mandatory BIS product standard referenced alongside IS 15410 for container sourcing,https://www.bis.gov.in/wp-content/uploads/2020/05/PM-PDW-IS-14543.pdf
IS 15609,Specification for plastic film packaging used in food applications,food_packaging,film_packaging_safety,food wrap film; plastic pouches; flexible packaging,plastic film,not_applicable,none,plastic film; food wrap; flexible packaging; pouch,Safety and testing specification for plastic film used in flexible food packaging.,Film testing for food-contact safety,Referenced alongside IS 9845 for flexible/film-based food packaging,https://envirocarelabs.com/food-packaging-material-testing/
